timestampS,timestamp,workerId,pathsFinished,raysEnqueued,raysAssigned,raysDequeued,bytesEnqueued,bytesAssigned,bytesDequeued,bagsEnqueued,bagsAssigned,bagsDequeued,numSamples,bytesSamples,bagsSamples,cpuUsage,totalTransferred,runningCompletion
3,1200400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1600400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2000400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2400400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.07,0.0,0.0
7,2800400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.88999999999999,0.0,0.0
8,3200400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.8100000000002,0.0,0.0
9,3600400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.03,0.0,0.0
10,4000400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.1799999999994,0.0,0.0
11,4400400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.1100000000001,0.0,0.0
12,4800400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.1899999999999,0.0,0.0
13,5200400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.4999999999998,0.0,0.0
14,5600400,79800,0.0,42247595.0,30934962.0,26468674.0,2988423016.0,2259555410.0,1944457888.0,1935.0,1406.0,1205.0,0.0,0.0,0.0,3124.8600000000015,4932880904.0,0.0
15,6000400,79800,0.0,53714328.0,42775970.0,44245236.0,3595451818.0,2890898614.0,3010939470.0,2799.0,2266.0,2315.0,0.0,0.0,0.0,5236.209999999999,6606391288.0,0.0
16,6400400,79800,0.0,33579814.0,31919647.0,32879304.0,2200459764.0,2087730544.0,2150314003.0,1941.0,1836.0,1886.0,0.0,0.0,0.0,3171.4900000000007,4350773767.0,0.0
17,6800400,79800,0.0,28398000.0,29378312.0,28837837.0,1852511567.0,1914526074.0,1879264861.0,1857.0,1899.0,1862.0,0.0,0.0,0.0,2455.9899999999993,3731776428.0,0.0
18,7200400,79800,0.0,35771289.0,37013780.0,36371845.0,2354065673.0,2434887406.0,2390761330.0,2540.0,2580.0,2538.0,0.0,0.0,0.0,3076.8999999999996,4744827003.0,0.0
19,7600400,79800,1686.0,43274946.0,44232521.0,43623623.0,2872614720.0,2936152341.0,2893554602.0,3361.0,3414.0,3359.0,4383.0,157788.0,31.0,3794.490000000003,5766169322.0,1686.0
20,8000400,79800,4645.0,55692276.0,57783146.0,57273705.0,3713681025.0,3851754743.0,3820118596.0,4883.0,4973.0,4938.0,24177.0,870372.0,69.0,4698.57,7533799621.0,6331.0
21,8400400,79800,45985.0,63921209.0,64382132.0,63782678.0,4219196705.0,4248393699.0,4207947064.0,6309.0,6309.0,6238.0,92388.0,3325968.0,143.0,5899.960000000001,8427143769.0,52316.0
22,8800400,79800,102759.0,64920952.0,65752717.0,66319423.0,4261262385.0,4315360508.0,4353867660.0,7827.0,7751.0,7747.0,221188.0,7962768.0,243.0,6195.960000000005,8615130045.0,155075.0
23,9200400,79800,90378.0,76912076.0,78997558.0,77163063.0,4932397042.0,5066935078.0,4962419610.0,10355.0,10469.0,10285.0,269780.0,9712080.0,285.0,7026.9,9894816652.0,245453.0
24,9600400,79800,132364.0,85835291.0,86866663.0,86106683.0,5343665097.0,5410890130.0,5369838809.0,12637.0,12568.0,12475.0,396014.0,14256504.0,299.0,8333.700000000006,10713503906.0,377817.0
25,10000400,79800,130741.0,93579522.0,95141283.0,93740004.0,5758881866.0,5861316313.0,5774517141.0,14916.0,14824.0,14705.0,431401.0,15530436.0,328.0,9073.920000000006,11533399007.0,508558.0
26,10400400,79800,171514.0,101623209.0,102544901.0,102578388.0,6274824500.0,6335509882.0,6339677455.0,16433.0,16387.0,16395.0,530469.0,19096884.0,329.0,9859.009999999987,12614501955.0,680072.0
27,10800400,79800,223513.0,99765425.0,100484956.0,100003855.0,6193285781.0,6245081706.0,6207371240.0,17970.0,17904.0,17682.0,621307.0,22367052.0,346.0,10187.53,12400657021.0,903585.0
28,11200400,79800,374621.0,97381573.0,96039433.0,96931460.0,6068808748.0,5985609426.0,6040408519.0,18803.0,18681.0,18767.0,856825.0,30845700.0,352.0,10262.060000000014,12109217267.0,1278206.0
29,11600400,79800,313813.0,83554272.0,81682658.0,82860932.0,5208712897.0,5093742276.0,5163598919.0,19058.0,18583.0,18646.0,762315.0,27443340.0,361.0,9610.640000000001,10372311816.0,1592019.0
30,12000400,79800,293163.0,78454795.0,79106697.0,78691488.0,4920387964.0,4963787298.0,4938255875.0,19562.0,19372.0,19292.0,704765.0,25371540.0,356.0,8992.589999999997,9858643839.0,1885182.0
31,12400400,79800,309878.0,83735600.0,85627104.0,84867187.0,5292324961.0,5415705335.0,5366812500.0,20602.0,20616.0,20545.0,733403.0,26402508.0,362.0,9217.910000000003,10659137461.0,2195060.0
32,12800400,79800,376820.0,85111227.0,85069810.0,85048044.0,5406990360.0,5405198863.0,5401561065.0,20917.0,20627.0,20653.0,871958.0,31390488.0,362.0,9726.719999999992,10808551425.0,2571880.0
33,13200400,79800,296330.0,88520052.0,88428321.0,88688168.0,5591765399.0,5579292276.0,5603303979.0,21931.0,21795.0,21837.0,786241.0,28304676.0,363.0,9796.620000000004,11195069378.0,2868210.0
34,13600400,79800,351435.0,85535525.0,85995691.0,86080033.0,5318205564.0,5348038928.0,5357115163.0,21476.0,21534.0,21560.0,881930.0,31749480.0,377.0,9704.830000000005,10675320727.0,3219645.0
35,14000400,79800,386188.0,88369491.0,88575290.0,88149170.0,5397973316.0,5411760671.0,5392779138.0,22357.0,22471.0,22458.0,1017904.0,36644544.0,384.0,9667.390000000001,10790752454.0,3605833.0
36,14400400,79800,410540.0,90723922.0,91738530.0,91745630.0,5490102266.0,5561008791.0,5562617619.0,23459.0,23534.0,23381.0,1047621.0,37714356.0,387.0,9818.260000000006,11052719885.0,4016373.0
37,14800400,79800,471765.0,95532477.0,95744633.0,95354853.0,5753933597.0,5774051533.0,5757408331.0,23057.0,22924.0,23044.0,1165011.0,41940396.0,382.0,10107.600000000011,11511341928.0,4488138.0
38,15200400,79800,395927.0,96141699.0,95901235.0,96058969.0,5800055707.0,5794606945.0,5799562264.0,23723.0,23663.0,23617.0,1092682.0,39336552.0,388.0,10327.830000000004,11599617971.0,4884065.0
39,15600400,79800,378193.0,96387992.0,97548643.0,97178536.0,5790790022.0,5863194980.0,5847403564.0,24048.0,24468.0,24399.0,1023706.0,36853416.0,395.0,10202.760000000004,11638193586.0,5262258.0
40,16000400,79800,381754.0,98644617.0,99059110.0,98533553.0,5902977191.0,5935707133.0,5911720754.0,24094.0,24289.0,24306.0,983631.0,35410716.0,383.0,10421.70000000001,11814697945.0,5644012.0
41,16400400,79800,573781.0,98490920.0,98422341.0,99116421.0,5838606599.0,5837061286.0,5882616810.0,24411.0,24392.0,24382.0,1273342.0,45840312.0,390.0,10541.920000000002,11721223409.0,6217793.0
42,16800400,79800,533394.0,98136428.0,97904485.0,98608884.0,5775157640.0,5762438548.0,5805324422.0,24035.0,23926.0,24067.0,1235864.0,44491104.0,386.0,10548.789999999994,11580482062.0,6751187.0
43,17200400,79800,698163.0,94792572.0,94405358.0,94898654.0,5536161225.0,5517108600.0,5545527436.0,25082.0,24916.0,24791.0,1424915.0,51296940.0,384.0,10321.490000000005,11081688661.0,7449350.0
44,17600400,79800,601195.0,88007962.0,87511564.0,88047423.0,5133288246.0,5107786180.0,5142991338.0,23801.0,23657.0,23672.0,1209183.0,43530588.0,387.0,9919.39,10276279584.0,8050545.0
