timestampS,timestamp,workerId,pathsFinished,raysEnqueued,raysAssigned,raysDequeued,bytesEnqueued,bytesAssigned,bytesDequeued,bagsEnqueued,bagsAssigned,bagsDequeued,numSamples,bytesSamples,bagsSamples,cpuUsage,totalTransferred,runningCompletion
3,756252,31626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1580395,77815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2000400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2400400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.76,0.0,0.0
7,2800400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.5899999999999,0.0,0.0
8,3200400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.3899999999996,0.0,0.0
9,3600400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.88,0.0,0.0
10,4000400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3095.01,0.0,0.0
11,4400400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.6499999999999,0.0,0.0
12,4800400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.4000000000001,0.0,0.0
13,5200400,79800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.35000000000001,0.0,0.0
14,5600400,79800,0.0,415180.0,415180.0,0.0,32518669.0,32518669.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,131.81,32518669.0,0.0
15,6000400,79800,0.0,46030097.0,33482627.0,29621390.0,3225310575.0,2423285994.0,2159606081.0,2113.0,1521.0,1343.0,0.0,0.0,0.0,1627.4500000000005,5384916656.0,0.0
16,6400400,79800,0.0,62323259.0,47348444.0,47045168.0,4228036708.0,3272475972.0,3252936127.0,3107.0,2387.0,2353.0,0.0,0.0,0.0,5059.770000000002,7480972835.0,0.0
17,6800400,79800,0.0,67788278.0,54680204.0,53424065.0,4554447821.0,3718778453.0,3640126730.0,3586.0,2954.0,2906.0,0.0,0.0,0.0,5770.309999999997,8194574551.0,0.0
18,7200400,79800,0.0,65637770.0,57587611.0,59614920.0,4341825158.0,3820013661.0,3965061186.0,3821.0,3400.0,3472.0,0.0,0.0,0.0,6077.149999999999,8306886344.0,0.0
19,7600400,79800,0.0,41799413.0,40262277.0,41011910.0,2759192629.0,2653069517.0,2702048974.0,2810.0,2724.0,2761.0,0.0,0.0,0.0,4819.169999999999,5461241603.0,0.0
20,8000400,79800,41.0,42612860.0,43557413.0,43275433.0,2821862808.0,2882257099.0,2863309023.0,3207.0,3240.0,3220.0,1946.0,70056.0,18.0,3445.0599999999995,5685171831.0,41.0
21,8400400,79800,5350.0,49508711.0,50495339.0,50434362.0,3266987588.0,3331111239.0,3329445330.0,4038.0,4026.0,4004.0,16663.0,599868.0,56.0,3999.8900000000044,6596432918.0,5391.0
22,8800400,79800,13919.0,54082858.0,54696522.0,54112306.0,3509388394.0,3549413218.0,3511814449.0,5328.0,5261.0,5199.0,49241.0,1772676.0,92.0,4608.869999999998,7021202843.0,19310.0
23,9200400,79800,133840.0,60893624.0,61502853.0,61366563.0,3886681669.0,3927300664.0,3923902581.0,6849.0,6763.0,6742.0,259177.0,9330372.0,165.0,5167.340000000003,7810584250.0,153150.0
24,9600400,79800,140565.0,65244456.0,66011894.0,65122410.0,4155749194.0,4206199072.0,4147557200.0,8763.0,8644.0,8521.0,304534.0,10963224.0,212.0,5720.109999999998,8303306394.0,293715.0
25,10000400,79800,204309.0,65120683.0,65224794.0,65710286.0,4134048001.0,4141378951.0,4173446415.0,10570.0,10351.0,10344.0,363573.0,13088628.0,258.0,6223.450000000002,8307494416.0,498024.0
26,10400400,79800,187758.0,70600135.0,73577739.0,71893695.0,4489841013.0,4689558377.0,4579761636.0,11835.0,12008.0,11889.0,370464.0,13336704.0,271.0,6290.0199999999995,9069602649.0,685782.0
27,10800400,79800,165829.0,88624466.0,90828052.0,89847613.0,5643565838.0,5784902652.0,5721614177.0,14408.0,14707.0,14550.0,359666.0,12947976.0,295.0,7525.2400000000025,11365180015.0,851611.0
28,11200400,79800,221522.0,83547521.0,80751903.0,82496820.0,5316551261.0,5133439398.0,5247316809.0,15648.0,15193.0,15362.0,513844.0,18498384.0,298.0,8765.800000000001,10563868070.0,1073133.0
29,11600400,79800,231378.0,74004754.0,74675091.0,74285252.0,4728444571.0,4775520068.0,4748339353.0,16446.0,16055.0,15917.0,550273.0,19809828.0,317.0,7877.310000000001,9476783924.0,1304511.0
30,12000400,79800,155501.0,76647640.0,77487344.0,76821588.0,4851346911.0,4907910312.0,4872365250.0,16999.0,16831.0,16824.0,424720.0,15289920.0,335.0,7724.010000000004,9723712161.0,1460012.0
31,12400400,79800,162741.0,85906404.0,87265112.0,86171871.0,5283503977.0,5373948536.0,5316740315.0,17684.0,17745.0,17689.0,464791.0,16732476.0,339.0,8074.730000000008,10600244292.0,1622753.0
32,12800400,79800,147983.0,94437695.0,95191355.0,94786188.0,5778058357.0,5830258962.0,5803154230.0,18269.0,18168.0,18098.0,494413.0,17798868.0,331.0,8972.530000000006,11581212587.0,1770736.0
33,13200400,79800,194638.0,96734816.0,97084574.0,97254558.0,5935896217.0,5966936857.0,5973738436.0,19763.0,19549.0,19429.0,526362.0,18949032.0,344.0,9513.640000000007,11909634653.0,1965374.0
